source,ex,gender,age,n_rows,dp_mean,dp_std,dp_cv,dp_min,dp_max
current,run,M,<25,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,25-29,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,30-34,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,35-39,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,40-44,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,45-49,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,50-54,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,55-59,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,M,60+,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,<25,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,25-29,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,30-34,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,35-39,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,40-44,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,45-49,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,50-54,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,55-59,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,run,F,60+,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,<25,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,25-29,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,30-34,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,35-39,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,40-44,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,45-49,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,50-54,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,55-59,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,M,60+,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,<25,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,25-29,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,30-34,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,35-39,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,40-44,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,45-49,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,50-54,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,55-59,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,hamr,F,60+,21,-1.025,0.4089460136806117,-0.39897172066401143,-2.0,-0.6000000000000014
current,pushups,M,<25,38,-0.38378378378378375,0.5678974445333483,-1.479732778009429,-2.3,-0.09999999999999964
current,pushups,M,25-29,36,-0.4057142857142857,0.5785086593194289,-1.4259016250830994,-2.3,-0.09999999999999964
current,pushups,M,30-34,34,-0.4303030303030303,0.6054362314092463,-1.4069996927116288,-2.3,-0.09999999999999964
current,pushups,M,35-39,31,-0.47333333333333333,0.6230809618801326,-1.3163682293242238,-2.3,-0.09999999999999964
current,pushups,M,40-44,27,-0.5461538461538461,0.6537465987556764,-1.1970008146230697,-2.3,-0.09999999999999964
current,pushups,M,45-49,30,-0.4896551724137931,0.6229794926607632,-1.2722820624762068,-2.3,-0.09999999999999964
current,pushups,M,50-54,25,-0.5916666666666667,0.6593255227332976,-1.1143529961689536,-2.3,-0.09999999999999964
current,pushups,M,55-59,22,-0.6761904761904761,0.6788996699842783,-1.0040065542021017,-2.3,-0.09999999999999964
current,pushups,M,60+,20,-0.7473684210526316,0.6826162262067184,-0.9133597392906795,-2.3,-0.29999999999999893
current,pushups,F,<25,33,-0.44375000000000003,0.6127344844115571,-1.3808101057161848,-2.3,-0.09999999999999964
current,pushups,F,25-29,34,-0.4303030303030303,0.6002524721340432,-1.3949529281988329,-2.3,-0.09999999999999964
current,pushups,F,30-34,36,-0.4057142857142857,0.6328938472198474,-1.5599496234292014,-2.3,-0.09999999999999964
current,pushups,F,35-39,33,-0.44375,0.6515180783766579,-1.468209754088243,-2.3,-0.09999999999999964
current,pushups,F,40-44,31,-0.47333333333333333,0.6410838523525034,-1.3544025049700776,-2.3,-0.09999999999999964
current,pushups,F,45-49,31,-0.47333333333333333,0.6405457443264397,-1.3532656570276895,-2.3,-0.09999999999999964
current,pushups,F,50-54,30,-0.4896551724137931,0.6526565644602106,-1.3328901668553597,-2.3,-0.09999999999999964
current,pushups,F,55-59,24,-0.6173913043478261,0.6873216621012871,-1.1132674808682819,-2.3,-0.09999999999999964
current,pushups,F,60+,18,-0.8352941176470587,0.6927672557130824,-0.8293692497973523,-2.3,-0.20000000000000107
current,hrpu,M,<25,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,M,25-29,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,M,30-34,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,M,35-39,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,M,40-44,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,M,45-49,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,M,50-54,25,-0.3125,0.03378319623460895,-0.10810622795074865,-0.40000000000000036,-0.29999999999999893
current,hrpu,M,55-59,24,-0.32608695652173914,0.044897775854487725,-0.13768651262042902,-0.40000000000000036,-0.29999999999999893
current,hrpu,M,60+,21,-0.375,0.044426165831932554,-0.11846977555182014,-0.40000000000000036,-0.29999999999999893
current,hrpu,F,<25,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,F,25-29,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,F,30-34,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,F,35-39,26,-0.3,8.504415863433655e-16,-2.8348052878112183e-15,-0.3000000000000007,-0.29999999999999893
current,hrpu,F,40-44,25,-0.3125,0.06123724356957938,-0.195959179422654,-0.5999999999999996,-0.29999999999999893
current,hrpu,F,45-49,25,-0.3125,0.06123724356957938,-0.195959179422654,-0.5999999999999996,-0.29999999999999893
current,hrpu,F,50-54,25,-0.3125,0.06123724356957938,-0.195959179422654,-0.5999999999999996,-0.29999999999999893
current,hrpu,F,55-59,25,-0.3125,0.06123724356957938,-0.195959179422654,-0.5999999999999996,-0.29999999999999893
current,hrpu,F,60+,24,-0.32608695652173914,0.12510864843424493,-0.3836665218650178,-0.9000000000000004,-0.29999999999999893
current,situps,M,<25,20,-0.6684210526315789,0.721150802212799,-1.0788870269325341,-2.3,-0.09999999999999964
current,situps,M,25-29,19,-0.7055555555555555,0.7263706898581243,-1.029501765153247,-2.3,-0.09999999999999964
current,situps,M,30-34,19,-0.7055555555555555,0.7352248333370927,-1.042050944887218,-2.3,-0.09999999999999964
current,situps,M,35-39,19,-0.7055555555555555,0.7352248333370927,-1.042050944887218,-2.3,-0.09999999999999964
current,situps,M,40-44,20,-0.6684210526315789,0.733373204657725,-1.097172510905258,-2.3,-0.09999999999999964
current,situps,M,45-49,21,-0.635,0.7183863496534585,-1.1313170860684385,-2.3,-0.09999999999999964
current,situps,M,50-54,22,-0.6047619047619047,0.7031900102221237,-1.1627551350129606,-2.3,-0.09999999999999964
current,situps,M,55-59,23,-0.5772727272727273,0.6900185078137696,-1.1953076513309395,-2.3,-0.09999999999999964
current,situps,M,60+,24,-0.5521739130434782,0.6834867593433164,-1.2378106665272661,-2.3,-0.09999999999999964
current,situps,F,<25,20,-0.6684210526315789,0.731097068778564,-1.093767268251395,-2.3,-0.09999999999999964
current,situps,F,25-29,20,-0.6684210526315789,0.7157378722370263,-1.0707889427168111,-2.3,-0.09999999999999964
current,situps,F,30-34,20,-0.6684210526315789,0.7188359661277602,-1.0754238863328698,-2.3,-0.1999999999999993
current,situps,F,35-39,20,-0.6684210526315789,0.7188359661277602,-1.0754238863328698,-2.3,-0.1999999999999993
current,situps,F,40-44,21,-0.635,0.7132394593092768,-1.123211746943743,-2.3,-0.10000000000000142
current,situps,F,45-49,17,-0.7937500000000001,0.7442837720475527,-0.9376803427370742,-2.3,-0.1999999999999993
current,situps,F,50-54,16,-0.8466666666666666,0.7633260552782584,-0.9015662070215651,-2.3,-0.09999999999999964
current,situps,F,55-59,21,-0.635,0.7213109410540024,-1.1359227418173266,-2.3,-0.09999999999999964
current,situps,F,60+,24,-0.5521739130434782,0.6920782701514405,-1.253370095549853,-2.3,-0.09999999999999964
current,clrc,M,<25,29,-0.26785714285714285,0.047559486560567174,-0.1775554164927841,-0.3000000000000007,-0.1999999999999993
current,clrc,M,25-29,29,-0.35714285714285715,0.20444789507094904,-0.5724541061986573,-0.8000000000000007,-0.09999999999999964
current,clrc,M,30-34,29,-0.26785714285714285,0.04755948656056683,-0.17755541649278284,-0.3000000000000007,-0.1999999999999993
current,clrc,M,35-39,29,-0.26785714285714285,0.04755948656056683,-0.17755541649278284,-0.3000000000000007,-0.1999999999999993
current,clrc,M,40-44,29,-0.26785714285714285,0.04755948656056683,-0.17755541649278284,-0.3000000000000007,-0.1999999999999993
current,clrc,M,45-49,33,-0.234375,0.0482558704434813,-0.20589171389218688,-0.3000000000000007,-0.1999999999999993
current,clrc,M,50-54,34,-0.22727272727272727,0.04522670168666455,-0.19899748742132403,-0.3000000000000007,-0.1999999999999993
current,clrc,M,55-59,34,-0.22727272727272727,0.04522670168666455,-0.19899748742132403,-0.3000000000000007,-0.1999999999999993
current,clrc,M,60+,29,-0.26785714285714285,0.04755948656056683,-0.17755541649278284,-0.3000000000000007,-0.1999999999999993
current,clrc,F,<25,37,-0.20833333333333334,0.05542047068934513,-0.2660182593088566,-0.3000000000000007,-0.09999999999999964
current,clrc,F,25-29,37,-0.20833333333333334,0.05542047068934513,-0.2660182593088566,-0.3000000000000007,-0.09999999999999964
current,clrc,F,30-34,36,-0.21428571428571427,0.064820372355216,-0.302495070991008,-0.3000000000000007,-0.10000000000000142
current,clrc,F,35-39,37,-0.20833333333333334,0.05542047068934513,-0.2660182593088566,-0.3000000000000007,-0.09999999999999964
current,clrc,F,40-44,37,-0.20833333333333334,0.05542047068934513,-0.2660182593088566,-0.3000000000000007,-0.09999999999999964
current,clrc,F,45-49,35,-0.22058823529411764,0.04785971776630343,-0.2169640538739089,-0.3000000000000007,-0.09999999999999964
current,clrc,F,50-54,34,-0.22727272727272727,0.04522670168666455,-0.19899748742132403,-0.3000000000000007,-0.1999999999999993
current,clrc,F,55-59,33,-0.234375,0.0482558704434813,-0.20589171389218688,-0.3000000000000007,-0.1999999999999993
current,clrc,F,60+,28,-0.2777777777777778,0.04236592728681615,-0.15251733823253813,-0.3000000000000007,-0.1999999999999993
current,plank,M,<25,12,-0.6818181818181818,0.4331701324380106,-0.6353161942424156,-1.5,-0.1999999999999993
current,plank,M,25-29,12,-0.6818181818181818,0.3736794931975311,-0.5480632566897122,-1.0,-0.1999999999999993
current,plank,M,30-34,12,-0.6818181818181818,0.3682884245212761,-0.5401563559645383,-1.0,-0.1999999999999993
current,plank,M,35-39,12,-0.6818181818181818,0.3682884245212761,-0.5401563559645383,-1.0,-0.1999999999999993
current,plank,M,40-44,12,-0.6818181818181818,0.3682884245212761,-0.5401563559645383,-1.0,-0.1999999999999993
current,plank,M,45-49,12,-0.6818181818181818,0.3682884245212761,-0.5401563559645383,-1.0,-0.1999999999999993
current,plank,M,50-54,12,-0.6818181818181818,0.3682884245212761,-0.5401563559645383,-1.0,-0.1999999999999993
current,plank,M,55-59,12,-0.6818181818181818,0.3682884245212761,-0.5401563559645383,-1.0,-0.1999999999999993
current,plank,M,60+,12,-0.6818181818181818,0.43085538598973516,-0.6319212327849449,-1.5,-0.1999999999999993
current,plank,F,<25,13,-0.625,0.5626641174723238,-0.9002625879557181,-1.799999999999999,-0.09999999999999964
current,plank,F,25-29,13,-0.625,0.5446016058467964,-0.8713625693548742,-1.6000000000000014,-0.09999999999999964
current,plank,F,30-34,13,-0.625,0.36212755161180943,-0.5794040825788951,-1.0,-0.1999999999999993
current,plank,F,35-39,12,-0.6636363636363636,0.35290998079603053,-0.5317821628433337,-1.0,-0.1999999999999993
current,plank,F,40-44,13,-0.625,0.36212755161180943,-0.5794040825788951,-1.0,-0.1999999999999993
current,plank,F,45-49,13,-0.625,0.36212755161180943,-0.5794040825788951,-1.0,-0.1999999999999993
current,plank,F,50-54,13,-0.625,0.36212755161180943,-0.5794040825788951,-1.0,-0.1999999999999993
current,plank,F,55-59,13,-0.625,0.36212755161180943,-0.5794040825788951,-1.0,-0.1999999999999993
current,plank,F,60+,13,-0.625,0.45552167895721496,-0.7288346863315439,-1.5999999999999996,-0.1999999999999993
pfra,run,M,<25,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,25-29,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,30-34,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,35-39,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,40-44,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,45-49,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,50-54,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,55-59,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,M,60+,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,<25,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,25-29,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,30-34,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,35-39,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,40-44,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,45-49,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,50-54,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,55-59,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,run,F,60+,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,<25,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,25-29,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,30-34,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,35-39,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,40-44,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,45-49,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,50-54,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,55-59,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,M,60+,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,<25,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,25-29,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,30-34,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,35-39,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,40-44,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,45-49,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,50-54,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,55-59,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,hamr,F,60+,21,-0.75,0.2564945880212885,-0.3419927840283847,-1.0,-0.5
pfra,pushups,M,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,M,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,pushups,F,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,M,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,hrpu,F,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,M,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,situps,F,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,M,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,clrc,F,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,M,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,<25,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,25-29,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,30-34,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,35-39,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,40-44,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,45-49,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,50-54,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,55-59,26,-0.5,0.0,-0.0,-0.5,-0.5
pfra,plank,F,60+,26,-0.5,0.0,-0.0,-0.5,-0.5
