source,g,age,ex,chart_floor_pts,max_pts,floor_pct,comp_min_pct,engine_clamp_passes_min
current,M,<25,run,29.5,50.0,59.0,60.0,False
current,M,<25,hamr,29.5,50.0,59.0,60.0,False
current,M,<25,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,<25,hrpu,7.5,15.0,50.0,60.0,False
current,M,<25,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,<25,clrc,7.5,15.0,50.0,60.0,False
current,M,<25,plank,7.5,15.0,50.0,60.0,False
current,M,25-29,run,29.5,50.0,59.0,60.0,False
current,M,25-29,hamr,29.5,50.0,59.0,60.0,False
current,M,25-29,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,25-29,hrpu,7.5,15.0,50.0,60.0,False
current,M,25-29,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,25-29,clrc,5.0,15.0,33.33333333333333,60.0,False
current,M,25-29,plank,7.5,15.0,50.0,60.0,False
current,M,30-34,run,29.5,50.0,59.0,60.0,False
current,M,30-34,hamr,29.5,50.0,59.0,60.0,False
current,M,30-34,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,30-34,hrpu,7.5,15.0,50.0,60.0,False
current,M,30-34,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,30-34,clrc,7.5,15.0,50.0,60.0,False
current,M,30-34,plank,7.5,15.0,50.0,60.0,False
current,M,35-39,run,29.5,50.0,59.0,60.0,False
current,M,35-39,hamr,29.5,50.0,59.0,60.0,False
current,M,35-39,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,35-39,hrpu,7.5,15.0,50.0,60.0,False
current,M,35-39,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,35-39,clrc,7.5,15.0,50.0,60.0,False
current,M,35-39,plank,7.5,15.0,50.0,60.0,False
current,M,40-44,run,29.5,50.0,59.0,60.0,False
current,M,40-44,hamr,29.5,50.0,59.0,60.0,False
current,M,40-44,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,40-44,hrpu,7.5,15.0,50.0,60.0,False
current,M,40-44,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,40-44,clrc,7.5,15.0,50.0,60.0,False
current,M,40-44,plank,7.5,15.0,50.0,60.0,False
current,M,45-49,run,29.5,50.0,59.0,60.0,False
current,M,45-49,hamr,29.5,50.0,59.0,60.0,False
current,M,45-49,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,45-49,hrpu,7.5,15.0,50.0,60.0,False
current,M,45-49,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,45-49,clrc,7.5,15.0,50.0,60.0,False
current,M,45-49,plank,7.5,15.0,50.0,60.0,False
current,M,50-54,run,29.5,50.0,59.0,60.0,False
current,M,50-54,hamr,29.5,50.0,59.0,60.0,False
current,M,50-54,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,50-54,hrpu,7.5,15.0,50.0,60.0,False
current,M,50-54,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,50-54,clrc,7.5,15.0,50.0,60.0,False
current,M,50-54,plank,7.5,15.0,50.0,60.0,False
current,M,55-59,run,29.5,50.0,59.0,60.0,False
current,M,55-59,hamr,29.5,50.0,59.0,60.0,False
current,M,55-59,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,55-59,hrpu,7.5,15.0,50.0,60.0,False
current,M,55-59,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,55-59,clrc,7.5,15.0,50.0,60.0,False
current,M,55-59,plank,7.5,15.0,50.0,60.0,False
current,M,60+,run,29.5,50.0,59.0,60.0,False
current,M,60+,hamr,29.5,50.0,59.0,60.0,False
current,M,60+,pushups,0.8,15.0,5.333333333333334,60.0,False
current,M,60+,hrpu,7.5,15.0,50.0,60.0,False
current,M,60+,situps,2.3,15.0,15.333333333333332,60.0,False
current,M,60+,clrc,7.5,15.0,50.0,60.0,False
current,M,60+,plank,7.5,15.0,50.0,60.0,False
current,F,<25,run,29.5,50.0,59.0,60.0,False
current,F,<25,hamr,29.5,50.0,59.0,60.0,False
current,F,<25,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,<25,hrpu,7.5,15.0,50.0,60.0,False
current,F,<25,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,<25,clrc,7.5,15.0,50.0,60.0,False
current,F,<25,plank,7.5,15.0,50.0,60.0,False
current,F,25-29,run,29.5,50.0,59.0,60.0,False
current,F,25-29,hamr,29.5,50.0,59.0,60.0,False
current,F,25-29,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,25-29,hrpu,7.5,15.0,50.0,60.0,False
current,F,25-29,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,25-29,clrc,7.5,15.0,50.0,60.0,False
current,F,25-29,plank,7.5,15.0,50.0,60.0,False
current,F,30-34,run,29.5,50.0,59.0,60.0,False
current,F,30-34,hamr,29.5,50.0,59.0,60.0,False
current,F,30-34,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,30-34,hrpu,7.5,15.0,50.0,60.0,False
current,F,30-34,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,30-34,clrc,7.5,15.0,50.0,60.0,False
current,F,30-34,plank,7.5,15.0,50.0,60.0,False
current,F,35-39,run,29.5,50.0,59.0,60.0,False
current,F,35-39,hamr,29.5,50.0,59.0,60.0,False
current,F,35-39,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,35-39,hrpu,7.5,15.0,50.0,60.0,False
current,F,35-39,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,35-39,clrc,7.5,15.0,50.0,60.0,False
current,F,35-39,plank,7.7,15.0,51.33333333333333,60.0,False
current,F,40-44,run,29.5,50.0,59.0,60.0,False
current,F,40-44,hamr,29.5,50.0,59.0,60.0,False
current,F,40-44,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,40-44,hrpu,7.5,15.0,50.0,60.0,False
current,F,40-44,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,40-44,clrc,7.5,15.0,50.0,60.0,False
current,F,40-44,plank,7.5,15.0,50.0,60.0,False
current,F,45-49,run,29.5,50.0,59.0,60.0,False
current,F,45-49,hamr,29.5,50.0,59.0,60.0,False
current,F,45-49,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,45-49,hrpu,7.5,15.0,50.0,60.0,False
current,F,45-49,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,45-49,clrc,7.5,15.0,50.0,60.0,False
current,F,45-49,plank,7.5,15.0,50.0,60.0,False
current,F,50-54,run,29.5,50.0,59.0,60.0,False
current,F,50-54,hamr,29.5,50.0,59.0,60.0,False
current,F,50-54,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,50-54,hrpu,7.5,15.0,50.0,60.0,False
current,F,50-54,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,50-54,clrc,7.5,15.0,50.0,60.0,False
current,F,50-54,plank,7.5,15.0,50.0,60.0,False
current,F,55-59,run,29.5,50.0,59.0,60.0,False
current,F,55-59,hamr,29.5,50.0,59.0,60.0,False
current,F,55-59,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,55-59,hrpu,7.5,15.0,50.0,60.0,False
current,F,55-59,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,55-59,clrc,7.5,15.0,50.0,60.0,False
current,F,55-59,plank,7.5,15.0,50.0,60.0,False
current,F,60+,run,29.5,50.0,59.0,60.0,False
current,F,60+,hamr,29.5,50.0,59.0,60.0,False
current,F,60+,pushups,0.8,15.0,5.333333333333334,60.0,False
current,F,60+,hrpu,7.5,15.0,50.0,60.0,False
current,F,60+,situps,2.3,15.0,15.333333333333332,60.0,False
current,F,60+,clrc,7.5,15.0,50.0,60.0,False
current,F,60+,plank,7.5,15.0,50.0,60.0,False
pfra,M,<25,run,35.0,50.0,70.0,60.0,True
pfra,M,<25,hamr,35.0,50.0,70.0,60.0,True
pfra,M,<25,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,<25,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,<25,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,<25,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,<25,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,25-29,run,35.0,50.0,70.0,60.0,True
pfra,M,25-29,hamr,35.0,50.0,70.0,60.0,True
pfra,M,25-29,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,25-29,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,25-29,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,25-29,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,25-29,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,30-34,run,35.0,50.0,70.0,60.0,True
pfra,M,30-34,hamr,35.0,50.0,70.0,60.0,True
pfra,M,30-34,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,30-34,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,30-34,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,30-34,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,30-34,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,35-39,run,35.0,50.0,70.0,60.0,True
pfra,M,35-39,hamr,35.0,50.0,70.0,60.0,True
pfra,M,35-39,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,35-39,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,35-39,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,35-39,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,35-39,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,40-44,run,35.0,50.0,70.0,60.0,True
pfra,M,40-44,hamr,35.0,50.0,70.0,60.0,True
pfra,M,40-44,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,40-44,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,40-44,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,40-44,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,40-44,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,45-49,run,35.0,50.0,70.0,60.0,True
pfra,M,45-49,hamr,35.0,50.0,70.0,60.0,True
pfra,M,45-49,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,45-49,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,45-49,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,45-49,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,45-49,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,50-54,run,35.0,50.0,70.0,60.0,True
pfra,M,50-54,hamr,35.0,50.0,70.0,60.0,True
pfra,M,50-54,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,50-54,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,50-54,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,50-54,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,50-54,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,55-59,run,35.0,50.0,70.0,60.0,True
pfra,M,55-59,hamr,35.0,50.0,70.0,60.0,True
pfra,M,55-59,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,55-59,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,55-59,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,55-59,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,55-59,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,M,60+,run,35.0,50.0,70.0,60.0,True
pfra,M,60+,hamr,35.0,50.0,70.0,60.0,True
pfra,M,60+,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,M,60+,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,M,60+,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,M,60+,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,M,60+,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,<25,run,35.0,50.0,70.0,60.0,True
pfra,F,<25,hamr,35.0,50.0,70.0,60.0,True
pfra,F,<25,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,<25,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,<25,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,<25,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,<25,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,25-29,run,35.0,50.0,70.0,60.0,True
pfra,F,25-29,hamr,35.0,50.0,70.0,60.0,True
pfra,F,25-29,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,25-29,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,25-29,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,25-29,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,25-29,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,30-34,run,35.0,50.0,70.0,60.0,True
pfra,F,30-34,hamr,35.0,50.0,70.0,60.0,True
pfra,F,30-34,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,30-34,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,30-34,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,30-34,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,30-34,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,35-39,run,35.0,50.0,70.0,60.0,True
pfra,F,35-39,hamr,35.0,50.0,70.0,60.0,True
pfra,F,35-39,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,35-39,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,35-39,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,35-39,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,35-39,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,40-44,run,35.0,50.0,70.0,60.0,True
pfra,F,40-44,hamr,35.0,50.0,70.0,60.0,True
pfra,F,40-44,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,40-44,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,40-44,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,40-44,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,40-44,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,45-49,run,35.0,50.0,70.0,60.0,True
pfra,F,45-49,hamr,35.0,50.0,70.0,60.0,True
pfra,F,45-49,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,45-49,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,45-49,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,45-49,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,45-49,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,50-54,run,35.0,50.0,70.0,60.0,True
pfra,F,50-54,hamr,35.0,50.0,70.0,60.0,True
pfra,F,50-54,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,50-54,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,50-54,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,50-54,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,50-54,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,55-59,run,35.0,50.0,70.0,60.0,True
pfra,F,55-59,hamr,35.0,50.0,70.0,60.0,True
pfra,F,55-59,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,55-59,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,55-59,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,55-59,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,55-59,plank,2.5,15.0,16.666666666666664,60.0,False
pfra,F,60+,run,35.0,50.0,70.0,60.0,True
pfra,F,60+,hamr,35.0,50.0,70.0,60.0,True
pfra,F,60+,pushups,2.5,15.0,16.666666666666664,60.0,False
pfra,F,60+,hrpu,2.5,15.0,16.666666666666664,60.0,False
pfra,F,60+,situps,2.5,15.0,16.666666666666664,60.0,False
pfra,F,60+,clrc,2.5,15.0,16.666666666666664,60.0,False
pfra,F,60+,plank,2.5,15.0,16.666666666666664,60.0,False
